avano	haveneau, havenet
venir_en_aide	aider, subvenir, porter_secours, secourir
tenir	vouloir, prendre
vive	Trachinidae
détailler	couper, exposer, raconter, débiter
Indes	Indes_orientales
fiable	sûr, solide
bicharière	biécharié
gabarier	gabariser, gabaritter
hygromètre	udomètre
orgiaque	orgiastique
demi-circulaire	semi-circulaire, hémicirculaire
gloseur	commentateur
français_de_Paris	francien, français_central
drêche	drague
concordable	conciliable
adelphique	polyandrie, sororale, fraternelle, polygynie
point_barre	point_final, point_à_la_ligne, un_point_c’est_tout
espadon	poisson-épée, poisson-sabre
anthophyllite	kupférite, magnésio-anthophyllite, anthogrammite, anthophylline
en_raison_de	à_raison_de
colosse_aux_pieds_d’argile	tigre_de_papier
théorème_d’indétermination	principe_d’indétermination, principe_d’incertitude
incomptable	indénombrable
tireur_d’élite	sniper
modérer	calmer
saison_des_pluies	saison_humide
incompréhensible	inappréhendable, inappréhensible, impénétrable, ténébreux, inconnaissable, abracadabrant, déconcertant, énigmatique, étrange, amphigourique, mystérieux, hermétique
macérer	mariner
polygame	polygamique
voie_lactée	chemin_de_Jacques
rétif	fingard, têtu, quinteux, désobéissant, indocile, récalcitrant, insoumis
univoque	injectif
Ambacienne	Amboisienne
contrôlable	vérifiable, maitrisable
herdier	armaillier, almaillier, aumaillier
cacaille	toc
lugubre	morne, triste
érudit	fort_en_thème, savant, instruit, docte, lettré, puits_de_science, M._Je-Sais-Tout
ballon	baudruche, ballon_de_baudruche, matras
broncher	chopper
lapinou	lapinet
tabac	nicotiane, herbe_angoumoise, herbe_à_Nicot
hôtesse_de_l’air	stewardesse, steward
collège_d’enseignement_secondaire	CES
Frigidaire	réfrigérateur, frigidaire, frigo
greluchon	souteneur, lardon, maquereau, gigolo, chérubin, mac
football	soccer, ballon_rond, foot
RIA	Afghanistan
Figuières	Figueras, Figueres
pâmer	admirer
alcine	morgeline, mouron
Confédération_helvétique	Confédération_suisse, Hélvétie, CH, Suisse, Helvétie
avoir_le_cigare_au_bord_des_lèvres	avoir_la_taupe_au_guichet, couler_un_bronze
plume_sétiforme	vibrisse
omble	umble
artémisophilie	absinthiophilie
ça_roule	ça_marche, pas_de_problème, d’accord, OK
combinard	débrouillard, combineur
optionnel	en_option, au_choix
saleté	escobille, ordure, bordille
ne_pas_mâcher_ses_mots	appeler_un_chat_un_chat, ne_pas_y_aller_par_quatre_chemins, parler_cash
parano	déséquilibré, fou
ta_gueule	écrase, la_ferme, silence
montre_de_plongée	plongeuse
bécassine_sourde	jaquet, petite_bécassine
océan_Pacifique_Sud	Pacifique_Sud
mille-canton	montée, Caen
congé	laissez-passer, passavant, acquit
se_mettre_à_table	passer_à_table
auriculaire	doigt_V, petit_doigt, cinquième_doigt
osé	audacieux, capoté, excentrique, flyé
bienvenir	bienvenuter
sinistro-	lévo-, sénestro-
os_crochu	hamatum, os_hamatum
noyautage_technique	entrisme, infiltration
carnaval	carême-prenant, mardi_gras
postposer	reporter, ajourner, différer
alpona	rangoli
lampe_économique	lampe_fluorescente_compacte, lampe_fluorescente, lampe_fluocompacte
trackpoint	souris_tactile, combiné_boule-souris, touche_directionnelle, pivot, ergot, bouton_de_pointage
objet_indirect	COI, complément_d’objet_indirect
apathique	amorphe, impassible, mou, indolent, malade, fatigué, nonchalant
difficulté	arduité, arduosité
ombre	corp
quartier_général	QG
sableux	aréniforme, sablonneux
glande_bulbo-urétrale	glande_de_Cowper
doctrine	dogme, théorie, doxa, paradigme
sur_la_brune	crépuscule, entre_chien_et_loup, à_la_brunante
ovi-	oo-
bouge	rade
deutoxyde	bioxyde
presse-agrumes	presse-citrons, presse-citron
libertarisme	libertarianisme
chiffre_d’affaires	bénéfice, recettes, revenus, boni, revenu, profit, CA
superembranchement	superphylum
injurieux	outrageant, insultant
VLAN	réseau_local_virtuel
pantière	pantenne
désordonné	bordélique
cafouillage	pataquès
habiller_quelqu’un	casser_du_sucre_sur_le_dos_de_quelqu'un, habiller_quelqu’un_pour_l’hiver
ployer	langage, courant, plier, élever, style
clarinette	clarinettiste
pisse-froid	rabat-joie
immigrant	importé, immigré, étranger
wagonnée	chargement
tranquillement	froidement, paisiblement, sereinement, lentement, tranquillou, sûrement, calmement, tranquillos, posément, patiemment, tranquillet
réfrigérateur	frigidaire, chambre_froide, frigo
donner_la_vie	faire_grâce_de_la_vie, accorder_la_vie
impropriété	barbarisme, solécisme, malapropisme
faits_divers	rubrique_des_chiens_écrasés, chiens_écrasés
stribord	tienbord, extribord, tribord, dextribord
irrumation	fellation, turlute, pipe, gorge_profonde
trocart	trois-quarts
BRIC	BRICS
sur_le_même_pied	de_pair, sur_un_pied_d’égalité
retrousser	trousser
lobotomie	leucotomie
coûte_que_coûte	à_tout_prix
shuffle	quater
langue_de_Mistral	provençal
constant	régulier, stable, fixe
aller_à_la_selle	mouler_un_cake, chier, poser_une_pêche, déféquer, tartir, faire_popo, couler_un_bronze, caguer, faire_caca
se_perdre_dans_les_nuages	se_perdre_dans_les_nues
patrimonial	ancestral, parental
système	infrastructure
postmoderniste	postmoderne
inlavable	indécrassable, innettoyable
casse-croûte	sandwich, en-cas
tetradymite	bornine, bismuthotellurite, xaphyllite, daphyllite, csiklovaite
avoir_la_courte_haleine	avoir_l’haleine_courte
époustouflant	stupéfiant
mouka	chanvre_de_Nouvelle-Zélande, lin_de_Nouvelle-Zélande
lecteur_de_nouvelles	speaker, speakerine
classable	ordonnable, rangeable
personne	nul, dégun
ROC	Canada_anglais, vidéocodage, OCR
la_table_et_le_logement	le_vivre_et_le_couvert
apochylime	apochylinne
lapinet	lapinou, lapereau
dépierrer	épierrer, désempierrer
girolle	chanterelle
ROM	NVRAM
parentèle	lignage, parenté
appareil_digestif	système_digestif, boyau, système_gastro-intestinal, tube_digestif
mongol	gogol, trisomique, attardé, mongolien
à_l’instant	dans_l’instant
alyssum	alysson
mieux_vaut_tenir_que_courir	un_tiens_vaut_mieux_que_deux_tu_l’auras
table_de_nuit	table_de_chevet, meuble_de_chevet, chevet
rouler_une_galoche	rouler_une_pelle, rouler_un_patin, galocher
RPC	APD
céruléen	azuré
arbre	arborescence
affaires_étrangères	politique_extérieure, politique_étrangère
athlétiquement	sportivement
placidité	sérénité
élixir_de_Garus	garus
pavé_de_verre	brique_de_verre
ovni	MOC, PANI, extraterrestre, PAN, soucoupe_volante
tirer_deux_moutures_du_même_sac	tirer_d’un_sac_deux_moutures
orphie_commune	poisson_cornu, poisson-vince, aiguille, aiguillette, aiguille_de_mer, bécassine_de_mer
grès	séricine
célébrant	officiant
bourrier	balle, escobille, glume
bouer	bouarder
moult	beaucoup, maint, très, fort, bien
campisme	camping
ovo-	oo-
bavouer	bavois
retroussis	troussis
cœur	sein, centre, générosité
fenchlorfos	thiophosphate_de_O-(trichloro-2,4,5_phényle)_et_de_O,O-dimétyle, Ronnel
flotte-tube	float_tube, float-tube
palmarès	tableau_de_chasse
trottin	arpète
digaro	taraon, darang_deng
prunellier	épine_noire, Prunus_spinosa
gosseline	pucelle, baiselette, bacelle
Arabe_du_coin	épicerie_de_quartier, épicier_arabe, épicerie_arabe, épicier_de_quartier, paki, petit_Arabe_du_coin, dépanneur, night_shop
wikidémicien	wiktionnariste
pygargue	aigle_pygargue, aigle_de_mer
aguichage	séduction
mise_à_pied	licenciement, renvoi
guili	chatouillement, guili-guili, chatouille
à_mi-voix	à_voix_basse
glose	annotation, paraphrase, archaïsme, scolie, remarque
ailante	ailanthe
ordinairement	communément, à_l’ordinaire, en_général, couramment, normalement, d’habitude, généralement, d’ordinaire
Rémanais	Réman, Rémien
comptine	catabaucalise
d’un_seul_coup	tout_d’un_coup, d’un_coup, instantanément
séismomètre	sismographe
pommelle	crépine
prendre_à_la_lettre	prendre_à_la_rigueur, prendre_en_toute_rigueur
vélomoteur	cyclomoteur
redikomi	josei
dosage	mesure, titrage
guembri	gimbri, hajouj, sintîr, hajhouj, gambri, gembré, gumbri, sintir, gembri
abugida	alphasyllabaire
RTL	sinistroverse
motou	motu, pure_motu
à_proportion	en_proportion, par_proportion
flamber	flammer, cramer, brûler
du_tout	absolument
grande_gueule	fort_en_gueule
fjord	poney_fjord, fjordhest, nordbag, norwegian_dun, fjording
déchet	chute, excrétat, ordure
certificat_d’immatriculation	carte_grise
pyramide_tronquée	tronc_de_pyramide
gatter	faire_l’école_buissonnière
doré_bleu	doré
jachère	versaine
coupe-tête	saute-mouton
primi_du_Sud	prinmi_du_Sud, pumi_du_Sud
moteur_d’affichage	moteur_de_rendu
châtrer	émasculer
bissac	mendiant, paysan, ouvrier, besace
auteures	auteurs, autrices
sémasie	tordeuse_des_pousses_de_peuplier, sémasie_du_peuplier
incroyablement	formidablement, fabuleusement, excessivement, terriblement, drôlement, épatamment, extrêmement
santal	santâlî, sandal
déprisonner	libérer
rachianesthésie	anesthésie_spinale
fauve	clair, ocre, roux, dangereux, roussâtre, bestiale, félidé, prédateur, félin
animétoponyme	nootoponyme
os_malaire	zygoma, os_zygomatique
clinomanie	clinophilie
webdocumentaire	webdocu, web-docu
remastérisé	rematricé
augustal	impérial
radiochronologie	datation_radiométrique
raccrocheuse	racoleuse
dur_d’oreille	dur_de_la_feuille, sourd, bouché, sourdingue
ranch	latifundia
anticolonialiste	anticolonial
tête_d’enclume	tête_de_lard
s’enfuir	prendre_la_poudre
occlusion_intestinale	volvulus, iléus
faute	erreur
stipe_chevelue	stipe_voile_de_mariée, stipe_capillaire
cagette	cageot, barquette
métolachlor	2_éthyl_6_méthoxy_N-(1’méthyl_2’méthoxy_éthyl)_chloroacétanilide
science_humaine	science_de_l’homme
épée_de_Damoclès	hache_de_Damoclès, planer, couperet
trichlorfon	(trichloro-2,2,2,_hydroxy-1-éthyl)_phosphonate_de_diméthyle
télémercatique	télémarketing
cabreter	chevreter, chevroter, chèvreter, chevrèter, chevretter
cœlomate	célomate, cœlomé
suant	suer, en_nage
glisser_dans_la_main	glisser_des_mains, glisser_entre_les_mains
l’argent_ne_lui_tient_pas_dans_les_mains	l’argent_lui_fond_dans_les_mains
survêtement	survêt, jogging
flush	couleur
daurade_royale	Sparus_aurata
parafoudre	parasurtenseur
métosulam	N-(2,6_dichloro-3-méthylphényl)-5,7_diméthoxyl-(1,2,4)_triazolo_(1,5,a)_pyrimidine-2-sulphonamide
métrosexuel	pomosexuel, hétérofolle, parafolle
figure	diagramme, schéma, emblème
gagner	remporter
liberté	libre_arbitre, indépendance, souveraineté
courrielleur	client_courriel, client_de_courrier_électronique, client_de_messagerie, client_e-mail
Baïkal	Perle_de_Sibérie
Prométhée	S/1980_S_27, Saturne_XVI
sa_pomme	cézigue, sa_poire
bisser	doubler, redoubler
bréviligne	brachytype, trapu
grand_tour	Grand_Tour
valve_mitrale	valve_bicuspide, valvule_mitrale, valvule_bicuspide
roulodrome	planchodrome, skatepark
figue_marine	figue_des_Hottentots, figue_de_mer
maille	thune, oseille, blé, pognon
shibboleth	jargon
prophame	isopropyle-N-phénylcaerbamate, phénylcarbamate_d’isopropyle, IPC
utopisme	utopie
allégation	assertion, affirmation
fixiste	créationniste
nonne	sœur, bonne_sœur, bombyx_moine, moniale, nonnain
circinal	circiné
asyndète	parataxe
ristapler	restapler
klysmaphilie	clystérophilie
bergat	bergot
newfie	niaiseux
billet_vert	dollar
Méditerranée	mer_du_milieu, mer_Méditerranée
guide	accompagnateur
syntagme_nominal	groupe_nominal
faire_cul_sec	sabler, faire_un_à-fond, afonner
solution_physiologique	liquide_physiologique, sérum_physiologique
mailer	e-mailer
métalaxyl-M	méfénoxam, méthyl_N-(2,6-diméthylphényl)-N-(méthoxyacétyl)-D-alaninate, CGA_329351, méthyl_N-(méthoxyacétyl)-N-(2,6-xylyl)-D-alaninate
avestique	zend
propanil	3,4-DCPA, N-(dichloro-3,4_phényl)_propionamide
tombée_de_la_nuit	tombée_du_jour
cocoricoter	cocoriquer, coquericoter, coqueriquer
de_travers	oblique, de_guingois, obliquement, en_biais, de_traviole, de_biais
binapacryl	méthyl-3_butène-2_oate_de_(sec-buthyl-2_dinitro-4,6)_phényle
parcmètre	parcomètre
lampe_à_diode_électroluminescente	lampe_à_DEL, lampe_à_LED
fluor	difluor, gaz_fluor
arche	voûte, arc, pont_naturel, écrin, châsse, arcade, arche_naturelle
cimentation	stromatactis
brigandeau	vaurien, braqueur, faisan, cambrioleur, fourbe, brigand, spoliateur, crapule, cleptomane, gangster, carambouilleur, fripon, pickpocket, intrigant, ravisseur, entôleur, charlatan, chouraveur, frelateur, voleur, escamoteur, fripouille, malhonnête, roublard, dupeur, tricheur, truand, estampeur, requin, roulottier, stellionataire, griveleur, fraudeur, bonneteur, bluffeur, entourloupeur, simulateur, faiseur, pirate, larron, resquilleur, pique-assiette, dévaliseur, escroqueur, embobineur, compilateur, flibustier, maraudeur, carotteur, gredin, chapardeur, chenapan, faussaire, plagieur, imposteur, aigrefin, filou, malandrin, kidnappeur, pilleur, truqueur, falsificateur, bandit, vide-gousset, arnaqueur, escroc, écornifleur, pillard, empaumeur, parasite, copieur, coquin, détrousseur, malfaiteur, barboteur, malfrat, forban, escogriffe, tire-laine
unilingue	monolingue
ormille	charmille
antiparasite	antiparasitaire, parasitocide
blé_d’Inde	maïs
gazette	journal, commère, pipelette
carbone_14	radiocarbone
jardin_à_la_française	jardin_classique, jardin_français
calotte	kippa
taxonomique	taxinomique
personnification	incarnation
tchao	à_la_revoyure, adieu, tschüs, au_revoir, ciao, salut
memristor	memristance
mortel	létal, fatal
tchat	causette, instantané, tchatche, clavardage, liaison, messagerie
radioplomb	RaD, radium_D
mords-y_l’œil	mords-y_l’œil,_t’auras_l’os, mords-y_l’œil,_t’auras_la_cuisse
chlorphonium_chlorure	phosfon, tributyl(2,4-dichlorobenzyl)phosphonium_chloride
phalangère_à_fleurs_de_lis	herbe_à_l'araignée
lisibilité	compréhensibilité, lecture
édifier	construire, bâtir
vernaculaire	autochtone, aborigène, indigène, régional, domestique
guillemet_anglais	gant_de_toilette, petit_guillemet, guillemet_dactylographique
prendre_une_gamelle	se_ramasser
biche	bibiche, gazelle
langue_de_Botev	bulgare
laisser_pisser	laisser_aller, laisser_couler
écrevisse_à_pattes_rouges	pattes_rouges, Astacus_astacus
ben_manque	probablement, possiblement, sûrement
oraison	prière
rapacité	cupidité, férocité
loupien	fraservillien, loupérivois, ripelouvois, louprivois, louperivois, lupifluvien, rivolupien
xiang	hunanais
prise_d’eau	prise_de_courant
uraniste	uranien
tempérance	modération, mesure, frugalité, sobriété
leasing	crédit-bail
pinailler	ergoter, chercher_la_petite_bête, couper_les_cheveux_en_quatre, chipoter, discutailler, chinoiser
indigeste	rébarbatif
surchaussure	claque, couvre-chaussure
faune	coronis, arachné
ravigoter	revigorer, avigorer
patriarche	père
franco-américain	américano-français, franco-étasunien
burgondité	bourgognitude
directeur	principal, dirigeant
fleurette	crème_fleurette
putto	putti
enragé	timbré, violent, acharné, ardent, bizarre, cinglé, fondu, marteau, anormal, fou, loufoque, dingue, vif, fada, furieux, schizophrène, névrosé, passionné, crétin, frénétique, fanatique, idiot, effréné, obsédé, déchaîné, impétueux, siphonné, maboul
kebla	noir
site_actif	centre_actif
décrudir	saisir
carnet_de_santé	carnet_de_vaccination
d’aventure	par_aventure
téléphone_cellulaire	téléphone_mobile, mobile
raconteur	conteur
chabazite	chabasie, chabasite
folichon	polisson
petit_panda	panda_roux
clé_des_champs	large
Jupiter_XLII	S/2003_J_22, J_XLII, Telxinoé
membre_caudal	membre_postérieur, membre_pelvien, membre_inférieur, membre_distal
écriture_bâtarde	bâtarde
Cacoin	Seugissois
combler	dorloter, choyer, mignoter, entourer, bichonner, cajoler, soigner, gâter, soin, couver, pouponner, occuper, chouchouter, chérir, câliner, mignarder, coucounner
toussailler	toussoter
bipédie	bipédisme
calleuse	appeau
opticien	oculiste
racisme	xénophobie, ethnocentrisme
abhorrer	détester
lousse	mou, slaque, bondonnière
guerre	hostilité, conflit
tendre	mou, affectueux
galoche	baiser
de_pire_en_pire	de_mal_en_pis, de_pis_en_pis, de_pire_en_pis
presse-agrume	presse-citrons, presse-fruits, presse-citron
chymosine	chymase, rennine
amignoter	amignonner
SCI	société_civile_immobilière
serratule	serrette, sarrette
Jupiter_XLIX	J_XLIX, Coré, S/2003_J_14
égouttoir	acottoir
apophthore	abortif
tendu	étiré, bandé
Jupiter_XLIV	S/2003_J_11, Callichore, J_XLIV
vidéolivre	livre_électronique
bécasseau_roussâtre	bécasseau_rousset
au-dessus	en_haut
plectrophane_lapon	bruant_lapon
Rat	Souris
shooting	séance_photo, prise_de_vue
méger	métayer
furie	mégère, harengère, harpie, dragon, gorgone, maritorne, grognasse, tricoteuse, gendarme
mathématiques	maths
démesurément	disproportionnément, excessivement
dans_les_faits	en_pratique
éclusage	éclusement, sassement
SDF	sans-abri, sans_domicile_fixe, sans-foyer, vagabond, clochard, sans-logis
halal	casher
crachiner	bruiner
période	phase, système, durée, ère, stade, fenêtre, époque
diméthénamide-P	DMTA-P, S-2-chloro-N-(2,4-diméthyl-3-thiényl)-N-(2-méthoxy-1-méthyléthyl)-acétamide
périodontiste	parodontologue, parodontiste
zébrelle	zébresse
charbon_symptomatique	charbon_emphysémateux, gangrène_emphysémateuse, charbon_à_tumeurs, charbon_post-partum
Béjaïa	Bougie
antimonarchiste	républicain
relicte	espèce_panchronique, espèce_relictuelle, fossile_vivant
radiogramme	marconigramme
gymnosophie	gymnosophisme
polonais	langue_de_Mickiewicz
liseron_soldanelle	liseron_des_dunes, liseron_des_sables
boire_un_verre_de_trop	s’enivrer, se_noircir, picoler, s’arsouiller
angiologie	angiographie, angéiologie
corme	sorbe
gibecière	gibacier
SEL	troc
clapotement	clapotis
palancrer	palangrer
noémie	néoménie, nouvelle_lune
déclinaison	variation
blâmer	tancer, admonester, chapitrer, réprimander, gronder, gourmander
arrondissement_départemental	arrondissement
bidonnage	trucage, tromperie, bidouillage
phalène_sillonnée	émeraude_commune
Saturne_XXVI	Albiorix, S_XXVI, S/2000_S_11
modus_operandi	mode_d’emploi, mode_opératoire
bouffon	joculateur
altersexuel	queer, transpédégouine, allosexuel
répétition_générale	générale
quark_charmé	quark_charme, quark_c, quark_charm
pantacourt	corsaire
oublieur	oublieux
lésiner	économiser, compter
oublieux	oublieur
commission	commandite, mandat, command
mix_énergétique	bouquet_énergétique
tenir_au_cœur	importer, chaloir
garer	stationner, parquer, éviter, s’écarter
écailleur	écailleuse
telline	flion, pignon
écailleux	hydne_imbriqué, épervier
monolingue	unilingue
large_d’esprit	large
ligne_de_chemin_de_fer	ligne_ferroviaire
y_compris	voire, inclus, jusques_et_y_compris, voire_même, même, y.c., compris, ellipse, dont
sombre	obscur, foncé
boisson	alcoolisme, ivrognerie
banc_de_test	banc_d’essai
implémentation	développement, transposition, implantation, intégration, mise_en_œuvre, adaptation, réalisation, codage, version
pourboire	bonne-main, pourliche, tip, tringuette
grogneur	maigre
garde	sentinelle
pullorose	diarrhée_bacillaire, diarrhée_blanche_des_poussins
O.M.U.	cycluron, N-cyclo-octyl-diméthylurée, cyclo-octyl-diméthylurée
locution_adjectivale	locution_adjective
alcarazas	gargoulette
Rex	Médor
avoir_une_brioche_au_four	avoir_un_polichinelle_dans_le_tiroir, être_en_cloque, être_grosse, avoir_le_ballon, avoir_le_gros_ventre
roussot	rousseau, roussiot
mêlée_ordonnée	mêlée
ficher_la_paix	fiche_la_paix, foutre_la_paix
tache_de_rousseur	rousseur, éphélide
câlin	caressant, doucereux
immortel	éternel, mélophore
bogosse	gossebeau, bomec, bombe, gossebo, canon
sarmale	sarmalute, varză_umplută, gălușcă
bêchée	ouvrée, hommée
tébuconazole	(RS)-1-p-chlorophényl-4,4-diméthyl-3-(1H-1,2,4-triazol-1-ylméthyl)pentan-3-ol, alpha-tertiaire-butyl-alpha-(p-chlorphénéthyl)-1H-1,2,4-triazole-1-éthanol, HWG_1608, terbutrazole, fenetrazole, éthyltrianol, terbuconazole
réessayer	ressayer
verbeux	bavard, prolixe, diffus
furer	frencher
affrétement	nolissement
anilinctus	anulingus, feuille_de_rose
faute_de_frappe	coquille
cygne_tuberculé	cygne_muet, cygne_domestique
réenquérir	renquérir
embranchement	division, phylum, croisée, raim, clade
entre_vous_et_moi	de_vous_à_moi, entre_nous
édenté	agomphe
bourdasse	bourdonnasse, bourdon
monocaméralisme	unicaméralisme, unicamérisme, monocamérisme
messe_chantée	grand-messe
azaléa	azalée
Afghanistan	Kaboul, RIA, République_islamique_d’Afghanistan
anonyme	incognito
noisette	aveline
azalée	rosage, rhododendron
acrobystie	acroposthie
pense-bête	aide-mémoire, mémorandum, mémo, mémento
rougissement	rougeur
remède_d’amour	remède_contre_l’amour
jaspiner_bigorne	dévider_le_jar, dévider_le_jars
chogobiter	pincer_son_français, fransquillonner, parler_pointu, parler_en_cul_de_poule, perler
barbéier	barboter, fasier, fazier
contrefilet	faux-filet
milliard	énormément, giga-
pervitine	pilule_de_Göring
alacalufe	kawésqar, kaweshkar, kawéskar, qawasqar, kawashkar, kawaskar
garce	putain, prostituée, prostitué, femme
Montreuil-sous-Bois	Montreuil
étroit_d’esprit	imbécile, borné, inculte
iridosmine	osmiridium
dérivation	shunt, déviation
documenteur	faux_documentaire
trouble-fête	rabat-joie
pont_disulfure	lien_S-S
naptalame	acide_N-(naphtyl-1)_phtalamique
permis	accepté, autorisation, autorisé
donner_à_ferme	donner_à_bail, acenser, affermer, donner_à_cens
canal_du_Bordelais	Ha-Ava, Ha'ava
agonistique	agonal
faire_grand_bruit	faire_l’effet_d’une_bombe
désossage	désossement
nocuité	nocivité
dactylographié	tapé, frappé_à_la_machine
sélection_individuelle	sélection_massale, test_des_performances
rubiacées	gaillet
mémoration	commémoration
mémoire_morte	ROM
conjecture	postulat, hypothèse
je_veux_être_enculé	crever, je_veux_bien_être_pendu, que_le_diable_m’emporte
on_ne_donne_rien_pour_rien	on_n’a_rien_pour_rien, donnant_donnant
curium	éka-platine, éka-gadolinium
pixéliser	mosaïquer
pierre_d’argile	pierre_blanche
Aigle	Aquila
feuille_de_garde	page_de_garde
ébullioscope	ébulliomètre
parodontite	périodontite
flâneur	flemmard, baladeur, promeneur, flânier, lambin, badaud, oisif, musard
néyo	néwolé, newole, néouolé, néyau
plié_de_rire	mort_de_rire, explosé_de_rire
hésitateur	hésiteur
autodépréciation	autodénigrement, autocritique
verjus	bourdelas
publireportage	publi-communiqué, publi-reportage, publi-rédactionnel
aragonite	conchite, arragonite, ctypéite, iglite, oserskite, chimborazite, winnieite, ktypéite, igloite
anti-indien	indophobe
stomatologue	stomatologiste
Ghana	Côte_d’Or, Wagadou
furax	furibond, furibard
polyptère_bichir	polyptère_du_Nil
nonante	quatre-vingt-dix
SMS	texto, message
à_plus_tard	à_la_prochaine_fois, à_plus
gueucher	gucher, jouquer, jucher
savoir	connaissance, connaitre
faxer	télécopier
akua-ba	ekuaba
goslarite	gallitzinite
étrier	étoquiau
synchronicité	synchronisme, simultanéité
méga-	mégalo-
deutoxide	bioxyde
fontainier	hydraulicien
harmonie	assonnance, concorde
États-Unis_d’Amérique	States, Amérique, USA, États, États-Unis, pays_de_l’oncle_Sam, U.S.A., É.U.A., US, États-Unis_mexicains
Aïd_el-Seghir	Aïd_el-Fitr
esraj	mayuri
boxon	lupanar, bordel, foutoir, maison_close, bazar
gram_positif	gram_+
grève_générale	cloque
disable	dicible
bruiner	crachiner
trioïque	triécique
océan_Arctique	Méditerranée_arctique, océan_glacial_Arctique
syrah	serine, serinne, biaune, entournerin, hermitage, balsamina, candive, marsanne_noire, antournerein_noir, hignin_noir, shiraz, sérène
neslite	opale_nectique, quartz_nectique
dénivelée	dénivelé
anosmique	microsmatique, anosmatique
de_nuit	nuitamment
piéride_de_la_moutarde	piéride_du_lotier
séjourner	demeurer
Saturne_XXXI	Narvi, S/2003_S_1, S_XXXI
s’arracher	se_barrer, se_casser
mettre	placer, poser
carbofuran	méthylcarbamate_de_dihydro-2,3_diméthyl-2,2_benzofuranyle-7
aniconique	iconoclaste
attifement	attifailles, attifage
désordre	boxon, cirque, foutoir, pagaille, bazar
favorisant	favorable
hexa-	sexti-, sexta-
machaïrodonte	smilodon, tigre_à_dents_de_sabre
invectiver	engueuler, injurier, agonir
eugéniste	eugénique
Charlemagne	Charles, Charles_le_Grand
coude_à_coude	côte_à_côte
se_mettre_debout	se_lever
khoïsan	khoi, khoï
bavéole	baveule
Allemagne	Germanie
gendre	beau-fils
fidéjussion	cautionnement, garantie
casse-pierre	criste_marine, perce-muraille, herbe_de_Notre-Dame, pariétaire_officinale, saxifrage_granulée, vitriole, perce-pierre, fenouil_marin, épinard_des_murailles
évangélisme	protestantisme_évangélique
chélicérates	chélicérés
conseiller	mentor
webjournal	blogue, blog
mongolisme	trisomie_21, syndrome_de_Down
pédégouine	homosexuel, transpédégouine, altersexuel, allosexuel
malarial	paludique
commerce_en_ligne	commerce_électronique
État	gouvernement
n’importe_quoi	quoi_que_ce_soit
rebolchéviser	rebolcheviser
belle_page	recto
heure_légale	heure_locale
canard_souchet	souchet
relocalisation	relocation
second_degré	deuxième_degré
marronnier_d’Inde	marronnier, marronnier_blanc, marronnier_faux-châtaignier, châtaignier_de_mer, marronnier_commun, marronnier_des_chevaux, châtaignier_des_chevaux
quinquilitère	quinquiconsonantique, quinquilittéral
kilohertz	kilocycle
chiropractie	chiropraxie, chiropratique
Saturne_XXXV	S/2005_S_1, Daphnis, S_XXXV
clampin	flemmard, retardataire, traînard
progestérone	hormone_lutéale
décrispation	relaxation, décontraction
keynésianiste	keynésien
enfant-bulle	bébé-bulle
décidu	caducifolié, caduc
wolframite	volfram, schéelin_ferruginé, hübnérite, scheelin_martial, mégabasite, bindheimite, tungstate_magnésié, wolfram, blumit
STS	corps_portant, orbiteur, navette_spatiale
serviteur	factotum, laquais, valet, boy, larbin, domestique
blocage	blocaille
remède	antidote, expédient, médicament
pointillé	en_pointillé
orvale	toute-bonne, sclarée, sauge_muscat
indirectement	par_la_bande
batteur	rabatteur
torpille_marbrée	raie_électrique_marbrée
gravage	gravure
navetteur	pendulaire, navettier
antilambda	chevron
n’importe_quel	chaque, tout
couver	dorloter, choyer, mignoter, entourer, bichonner, cajoler, soigner, gâter, soin, pouponner, combler, occuper, chouchouter, chérir, câliner, mignarder, coucounner
point_d’admiration	point_d'exclamation
poliomyélite	maladie_de_Heine-Medin, polio
enfoiré	copain, con, pote, poteau, bon_à_rien, crétin
moxeno	mojo, moxo
élops_franc	tarpon_du_pauvre
dictionnaire_encyclopédique	encyclopédie
crise_cardiaque	infarctus, infarctus_du_myocarde
Afrique_saharienne	Afrique_jaune
Organisation_mondiale_de_la_santé	OMS
coûter	être
e-commerce	commerce_électronique
campos	congé, relâche, repos
trictrac	jacquet
laissez-passer	passeport, passavant, sauf-conduit
frêle	délicat, mince, faible, fragile
fourreau	prépuce, gaine
dénier	refuser
dès_que	aussitôt_que
maugréer	ronchonner
érable	érablier
hylochère	sanglier_géant
coloscopie	colonoscopie
catégoriel	catégorial
cabinet	toilettes
tadorne_de_Belon	tadorne
faux_jeton	faux_derche, faucheton, faux-cul
voisé	sonore
ilotier	quartenier
baptême_de_la_ligne	baptême_du_tropique
sicaire	tueur_à_gages, tueur_professionnel
bien_membré	monté_comme_un_âne
figue_des_Hottentots	figue_marine, figue_de_mer
gravitationnel	gravifique
septante-sept	soixante-dix-sept
subventionnement	subsidiation
coquerelle	amour_en_cage, physalis
suites	luites
frotter_les_oreilles	tirer_les_oreilles, donner_sur_les_oreilles
certificat_d’études	certificat, certif, CEP
dans_le_vent	à_la_mode, branché, in, en_vogue, au_goût_du_jour
courriel_de_masse	massmail
halle	marché
Radiées	Astéracées, Composées
garus	élixir_de_Garus
faire_la_bringue	bringuer
titanique	titanesque
